Fund,Fund ID,Fund Description,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,48,County Health Department Fund,County Health Department Fund,Dental Sealant Program,,,Public Health Adminstrator,0,0,,"20,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"25,524",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,48,County Health Department Fund,County Health Department Fund,DUI Task Force Expense,,,Public Health Adminstrator,0,0,,0,"23,000","18,000","10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"47,874","9,951",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,48,County Health Department Fund,County Health Department Fund,Community Access Grant,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,"804,402",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,48,County Health Department Fund,County Health Department Fund,Miscellaneous,,,Public Health Adminstrator,"66,361","47,861",,"86,800","69,800","69,800","86,500","71,000",0,0,0,0,0,0,0,0,0,0,"31,503","42,562",,"129,838","217,537","273,130","166,331","136,200",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,48,County Health Department Fund,County Health Department Fund,All Other Health Related Expenses,,,Public Health Adminstrator,0,0,,0,0,0,0,0,"795,305","338,500","338,500","593,104","631,585","700,000","1,700,000","620,000","623,733",0,0,0,,0,0,0,0,0,"867,451","632,862","525,995","647,313","671,681","616,293","1,453,645","580,373","637,460",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,65,County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,Personal Services,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"300,000",0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"184,282",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,65,County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,Medical Supplies,,,Public Health Adminstrator,0,0,,0,0,0,"6,000","8,500",0,0,0,0,0,0,0,0,0,0,0,0,,0,"4,758","11,671","3,556","8,171",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,65,County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,Contractual,,,Public Health Adminstrator,0,0,,0,0,0,"7,000","5,500",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,"5,750","5,187",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,65,County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,Occupancy Expense,,,Public Health Adminstrator,0,0,,0,0,0,"5,000","6,500",0,0,0,0,0,0,0,0,0,0,0,0,,0,"1,250","2,550","3,083","6,413",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,65,County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,Repairs,,,Public Health Adminstrator,0,0,,0,0,0,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,"1,602",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,65,County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,Office Expense,,,Public Health Adminstrator,0,0,,0,0,0,"2,000",500,0,0,0,0,0,0,0,0,0,0,0,0,,0,451,"1,404","1,341",401,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,65,County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,Equipment,,,Public Health Adminstrator,0,0,,0,0,0,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,"1,398",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,65,County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,Miscellaneous,,,Public Health Adminstrator,0,0,,0,0,0,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,,0,22,494,195,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,65,County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,Health & Welfare,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,"444,682","560,000","560,300","385,000","492,000","142,000",0,0,0,,0,0,0,0,0,"63,271","165,356","252,183","508,769","485,344","171,744","111,739","93,477","61,895",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,68,Mental Health Fund,Mental Health Fund,Macoupin County Mental Health Association,,,Public Health Adminstrator,"160,000","160,000",,"17,500","175,000","175,000","176,000","178,500","195,638","180,000","180,000","180,000","182,000","180,000","180,000","254,000","180,000","218,000","127,454","190,681",,"174,844","210,211","176,246","141,867","139,704","177,330","215,435","144,484","179,402","181,942","179,489","174,353","254,200","180,000","217,845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,71,"Macoupin Community Health Center, Inc.","Macoupin Community Health Center, Inc.",Health & Welfare,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,"132,000","25,000","25,000","25,000",0,0,0,,0,0,0,0,0,0,0,0,0,"33,319","13,765","21,196","23,545","5,451",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,88,County Health Department - ILCHS,County Health Department - ILCHS,Health & Welfare,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,"105,000","7,500",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,"49,529","1,968",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,113,County Health Commcare Fund,County Health Commcare Fund,Health & Welfare,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,"90,000","120,200","433,000","520,000","735,620","444,627",0,0,0,,0,0,0,0,0,0,"10,130","17,711","24,015","130,603","396,508","164,501","185,051","213,140",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,122,Public Transportation,Public Transportation,Public Transportation,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"159,629",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Fund,4,,122,Public Transportation,Public Transportation,Health & Welfare,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,46,County Motor Fuel Tax Fund,County Motor Fuel Tax Fund,Salaries,,,County Highway Engineer,"56,500","56,500",,"58,000","58,000","58,000","61,800","100,000","70,000","70,000","90,000","90,000","90,000","93,000","94,800","96,700","98,600","100,600","52,723","46,750",,"29,128","50,417","58,300","61,800","63,033","67,465","69,321","86,355","88,066","89,586","91,580","94,177","96,362","98,072","98,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,46,County Motor Fuel Tax Fund,County Motor Fuel Tax Fund,Contractual,,,County Highway Engineer,"320,000","420,000",,"400,000","400,000","420,000","520,000","1,000,000","900,000","1,000,000","1,000,000","1,000,000","1,500,000","2,007,000","1,590,000","1,606,300","1,606,300","1,604,300","320,000","136,179",,"419,457","420,000","450,000","590,451","572,000",0,0,"500,000","700,000","837,215","1,145,247","740,862",0,"70,795","423,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,46,County Motor Fuel Tax Fund,County Motor Fuel Tax Fund,Commodities,,,County Highway Engineer,"380,000","380,000",,"440,000","440,000","624,000","680,000","900,000","800,000","900,000","900,000","900,000","900,000","900,000","1,317,000","1,317,000","900,000","900,000","366,495","608,748",,"359,111","457,335","499,227","788,774","199,868","590,374","848,523","502,560","566,388","501,777","394,538","698,962","573,726","775,043","665,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,46,County Motor Fuel Tax Fund,County Motor Fuel Tax Fund,Capital Outlay,,,County Highway Engineer,"50,000","50,000",,"100,000","100,000","100,000","1,000,000","465,500","200,000","200,000","200,000","410,000","410,000",0,0,0,0,0,0,0,,0,0,0,0,"1,193,360",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,46,County Motor Fuel Tax Fund,County Motor Fuel Tax Fund,Miscellaneous,,,County Highway Engineer,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"415,100","395,100",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,60,County Highway Fund,County Highway Fund,Salaries,,,County Highway Engineer,"455,272","481,600",,"536,000","536,000","570,000","587,000","660,000","660,000","665,000","675,000","660,000","680,000","710,000","682,100","721,000","746,000","785,000","497,989","466,723",,"492,952","538,572","530,260","561,087","607,093","546,794","645,447","582,251","627,680","643,547","668,554","640,226","673,543","726,490","690,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,60,County Highway Fund,County Highway Fund,Contractual,,,County Highway Engineer,"55,800","44,700",,"46,900","14,800","14,600","26,100","53,500","40,200","72,200","72,100","311,400","325,700","375,300","413,800","376,400","370,600","407,300","38,083","52,411",,"41,287","6,529","11,529","125,366","6,860","102,187","117,000","211,965","193,848","192,583","449,902","285,879","172,643","253,510","366,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,60,County Highway Fund,County Highway Fund,Capital Outlay,,,County Highway Engineer,"52,000","61,000",,"59,400","71,400","121,400","171,400","180,000","258,000","235,000","235,000","178,000","218,000","218,000","231,000","223,500","226,000","224,000","26,564","43,331",,"216,055","54,536","105,073","89,609","98,631","157,832","144,572",0,"178,879","175,591","135,992","153,560","67,448","100,323","82,034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,60,County Highway Fund,County Highway Fund,Commodities,,,County Highway Engineer,"213,500","235,000",,"217,800","219,000","217,000","218,000","170,000","199,000","185,000","178,000","154,500","191,000","195,000","231,000","222,000","215,300","210,800","204,495","175,843",,"125,633","133,693","122,675","17,228","137,057","254,678","106,024","210,693","162,506","186,911","205,276","168,619","332,418","247,137","218,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,60,County Highway Fund,County Highway Fund,Miscellaneous,,,County Highway Engineer,"11,000","4,000",,"5,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","14,000",0,"14,000",0,"15,000",0,0,0,392,,"3,701","1,084","1,499","3,148","3,630",0,0,0,"11,323","6,940","6,521","5,492","3,922","4,329","2,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,61,Gravel Road Fund,Gravel Road Fund,Contractual,,,County Highway Engineer,"3,000","3,000",,"3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"3,337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,62,Federal Aid Matching Fund,Federal Aid Matching Fund,Contractual,,,County Highway Engineer,"80,000","50,000",,"70,000","70,000","90,000","100,000","700,000","200,000","200,000","200,000","200,000","300,000","240,000","550,000","450,000","450,000","500,000","109,165","72,490",,"60,605","23,120","24,110","84,868","139,917","78,441","74,196","121,192","146,636","287,160","217,216","505,473","167,283","380,119",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,62,Federal Aid Matching Fund,Federal Aid Matching Fund,Capital Outlay,,,County Highway Engineer,"270,000","160,000",,"140,000","155,000","190,000","200,000",0,"500,000","500,000","400,000","65,000","65,000","75,000",0,"100,000","100,000","100,000","225,298","8,086",,"126,984","41,987","45,611","10,521","152,558","252,279","258,531","404,966","90,570","39,367",663,0,"144,603","75,254","373,249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,62,Federal Aid Matching Fund,Federal Aid Matching Fund,Commodities,,,County Highway Engineer,"140,000","10,000",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,159",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,62,Federal Aid Matching Fund,Federal Aid Matching Fund,Miscellaneous,,,County Highway Engineer,"60,000","20,000",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,63,County Township Bridge Bond Fund,County Township Bridge Bond Fund,Contractual,,,County Highway Engineer,"90,000","90,000",,"50,000","50,000","83,000","60,000","605,000","60,000","60,000","48,000","350,000","450,000","450,000","769,900","450,000","450,000","450,000","4,646","168,671",,"343,252","89,048","371,385",0,"58,553","28,560","7,662","161,793","76,401","38,288","658,512","437,138",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,63,County Township Bridge Bond Fund,County Township Bridge Bond Fund,Capital Outlay,,,County Highway Engineer,"265,000","265,000",,"320,000","150,000","315,000","440,000",0,"550,000","550,000","390,000","269,000","269,000","269,000",0,"150,000","150,000","150,000","103,313","163,449",,0,0,0,0,0,0,0,"89,012","197,654","206,090","4,211",0,"193,829",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,64,County Township Bridge Fund,County Township Bridge Fund,Contractual,,,County Highway Engineer,"50,000","50,000",,"20,000","20,000","40,000","40,000","60,000","180,000","140,000","100,000","60,000","65,000","200,000",0,"125,000","250,000","260,000","23,124","80,053",,"31,007","51,721","64,004","65,479","54,690","67,682","33,545","39,683","30,017","31,373","60,104",0,"34,817","374,895","15,721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,64,County Township Bridge Fund,County Township Bridge Fund,Commodities,,,County Highway Engineer,"40,000","50,000",,"80,000","80,000","140,000","140,000",0,"180,000","140,000","100,000",0,0,0,0,"125,000",0,0,191,0,,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,64,County Township Bridge Fund,County Township Bridge Fund,Capital Outlay,,,County Highway Engineer,"250,000","200,000",,"100,000","100,000","200,000","200,000","500,000","220,000","180,000","120,000","135,000","75,000","150,000","350,000","150,000","150,000","150,000","154,285","118,405",,"216,465","118,403","170,612","126,540","249,753","260,851","259,932","295,293","143,141","68,378","213,485","298,893","138,636","19,850","166,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,134,Township Motor Fuel Tax Fund,Township Motor Fuel Tax Fund,Commodities,,,County Highway Engineer,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,118,139","1,071,690",,"1,106,023","1,148,152","1,065,128","1,220,057","1,523,102",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Fund,3,,134,Township Motor Fuel Tax Fund,Township Motor Fuel Tax Fund,Contractual,,,County Highway Engineer,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"187,568","180,609",,"59,221","189,932","190,378","218,069","259,695",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Salaries & Related Expense,,,Emergency Telephone System Board,0,"86,223",,"187,700","191,500","238,100","295,500","323,000","283,000","283,000","270,250","346,720","355,180","426,517","413,867","417,384","423,264","520,741",0,"35,951",,"73,879","77,347","68,816","71,294","42,584","102,564","271,269","324,855","358,357","332,305","388,533","383,331","374,822","401,324","305,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Utilities & Telephone,,,Emergency Telephone System Board,0,"3,000",,"26,000","26,000","6,000","6,000","6,000","7,300","67,300","62,000","145,000","143,000","178,000","5,000","204,000","203,000","203,000",0,"2,315",,"1,304","1,751","3,468","2,158","1,783","10,949","58,363","109,166","125,580","174,524","213,765","200,719","193,348","184,477","182,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Advertising (& Promotional),,,Emergency Telephone System Board,0,"2,800",,"3,800","4,400","4,400","4,400","7,600","5,100","5,100","4,500","1,500","1,500",0,"1,500",500,0,0,0,"2,242",,127,613,743,0,"2,993","1,287","2,745","1,406",0,533,0,0,0,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Training,,,Emergency Telephone System Board,0,0,,"10,000","15,000","15,000","15,000","25,000","35,000","35,000","20,000","6,000","6,000","6,000","6,000","4,000","2,000","1,000",0,0,,"1,122",821,"2,434","3,028",509,"7,371","17,189","4,587","1,632","4,550","3,403","1,831","1,153",825,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Mileage,,,Emergency Telephone System Board,0,"2,200",,"6,000","6,000","6,000","6,000","6,000","7,000","7,000","27,500","5,000","5,000","6,000","6,000","5,000","5,500",0,0,"1,826",,"2,304","2,479","3,246","2,052","2,255","7,193","10,098","6,724","3,230","3,653","4,811","6,393","3,447","3,719",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Travel & Meetings,,,Emergency Telephone System Board,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Dues & Publications,,,Emergency Telephone System Board,0,0,,0,"2,000","2,000","2,000","2,000","2,000","2,000","4,000",700,700,500,500,500,"1,000",750,0,0,,0,318,75,150,373,273,176,892,185,245,481,338,245,380,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Mapping & Addressing,,,Emergency Telephone System Board,0,0,,"280,000","215,000","50,000","50,000","52,550","20,000","20,000","35,000","7,000","14,000","10,000","10,000","5,000","5,000","2,500",0,0,,"48,395","195,202","1,878","1,701",0,"10,330","4,420","3,100","7,768","4,878","4,939",882,"3,321",555,"2,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Dispatch,,,Emergency Telephone System Board,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,500",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Insurance,,,Emergency Telephone System Board,0,0,,0,0,"22,500","22,500","55,000","88,000","88,000","90,500","86,800","108,800","88,800","86,800","89,800","97,000","89,500",0,0,,0,0,"7,637","8,390","4,509","23,738","37,253","73,451","63,532","72,192","61,680","71,004","87,272","87,624","76,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Contractual,,,Emergency Telephone System Board,0,"15,500",,"27,500","74,000","57,500","57,500","165,000","180,000","180,000","175,000","15,000","15,000","15,000","15,000","10,000","10,000",0,0,"11,858",,"23,770","1,419","2,466","6,334","30,050","18,866","22,037","15,513","6,145","6,101","11,223","1,720","3,633","3,185","4,565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Consulting,,,Emergency Telephone System Board,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,000",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Capital Outlay,,,Emergency Telephone System Board,0,"8,000",,"560,000","1,005,000","1,395,000","1,378,000","1,855,000","1,939,000","1,879,000","310,000","241,744","107,000","205,000","399,000","114,500","125,000","82,000",0,"6,265",,0,"14,755","27,735","44,932","201,404","670,948","415,814","85,327","80,384","61,983","80,951","177,958","61,853","75,800","66,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Towers/Auxiliary Power,,,Emergency Telephone System Board,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,000",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,562",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Vehicle Fuel & Maintenance,,,Emergency Telephone System Board,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,000",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Office Expense,,,Emergency Telephone System Board,0,"7,500",,"32,000","35,000","35,000","35,000","40,000","45,000","45,000","62,000","32,036","61,300","68,300","54,800","59,500","11,500","45,500",0,"6,128",,"4,850","2,134","1,962","4,360","3,213","28,093","31,084","26,590","34,444","30,422","56,178","37,184","44,043","35,204","42,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Rent,,,Emergency Telephone System Board,0,0,,"6,000","6,000","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600",0,0,,"3,600","3,600","3,600","3,900","3,600","3,000","5,100","2,400","3,600","3,600","3,600","3,600","3,600","3,600","3,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Miscellaneous,,,Emergency Telephone System Board,0,"26,500",,"61,000","120,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Tower Expense,,,Emergency Telephone System Board,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,"57,975","4,350",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Equipment Repairs,,,Emergency Telephone System Board,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,"2,004","6,195",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Clothing Allowance,,,Emergency Telephone System Board,0,0,,0,0,0,0,0,0,0,0,"7,000","7,000","7,000","4,000","4,000","3,000","2,800",0,0,,0,0,0,0,0,772,"2,208","8,736",844,820,"2,645","5,430","2,761","2,745",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,45,Emergency Telephone System,Emergency Telephone System,Contingency,,,Emergency Telephone System Board,0,0,,0,0,"105,000","120,000","200,000","915,000","915,000","50,000","8,000","8,000","8,000","18,650","8,000","8,000","8,000",0,0,,0,0,0,0,0,0,0,500,"3,910",0,600,"2,925",-54,0,"1,146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,49,Illinois Municipal Retirement Fund,Illinois Municipal Retirement Fund,Payment to Illinois Municipal Retirement Fund,,,Countywide Expense,"325,000","550,000",,"425,000","700,000","750,000","865,000","785,000","850,000","870,000","962,000","1,013,000","1,220,000","1,070,000","1,070,000","1,080,000","1,080,000","1,285,000","533,363","525,353",,"615,806","741,374","820,747","861,022","835,082","833,346","962,368","1,049,640","1,106,245","1,101,078","1,084,523","1,021,679","1,023,116","1,059,604","1,186,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,50,Social Security Fund,Social Security Fund,Social Security,,,Countywide Expense,0,0,,0,0,"320,000","315,000","325,000","325,000","335,000","670,000","425,000","300,000","360,000","360,000","360,000","360,000","396,000",,,,,,"306,500","317,854","342,493","361,281","379,123","324,488","327,791","318,689","317,111","313,942","310,172","325,279","370,431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
