Fund,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,,
General Fund,1,26,Jail,Jail,Medical Expenses of Inmates,http://macoupincountyil.gov/sheriff_jail_faq.htm,"The line item, under the control of the Sheriff, funds the operation of the County Jail and all of its employees [salaries of correctional officers and cooks]. Major expenses such as inmate food, utilities, and housing inmates from other counties are paid through this line. The Jail Budget had been combined with the Sheriff's budget got a period of time, but beginning in Fiscal Year 2014, it is it's own seperate budget again.",Sheriff,34419,34000,59147,50000,83944,56157,107402,107698,113023,94860,89810,0,0,0,0,0,0,0,0,0,34419,30209,59147,36491,83944,56157,107681,107698,108170,94856,89810,0,0,0,0,0,0,0,0,
General Fund,1,27,Probation,Probation,Salaries & Benefits,http://macoupincountyil.gov/probation.htm,"The line item funds the operation of the Probation office. Through the Illinois Administrative Office of the Courts, a portion of Probation Officer Salaries are reimbursed back to the General Fund each year. Further, a transfer of funds from the Probation Fee Fund is allowable to cover a shortfall in employee salaries at the end of the fiscal year.",Chief Probation and Court Services Officer,190928,198203,213903,228670,290667,274126,300226,300226,299436,314750,309554,318800,321144,337020,326357,348359,412764,389200,403669.12,315500,190928,198203,213903,225267,250371,259076,265755,283119,295784,309915,309554,315391,317608,330669,326220,346922,414045,379454,398997.01,
General Fund,1,27,Probation,Probation,Detention Grant,http://macoupincountyil.gov/probation.htm,"The line item funds the operation of the Probation office. Through the Illinois Administrative Office of the Courts, a portion of Probation Officer Salaries are reimbursed back to the General Fund each year. Further, a transfer of funds from the Probation Fee Fund is allowable to cover a shortfall in employee salaries at the end of the fiscal year.",Chief Probation and Court Services Officer,0,0,0,0,0,6350,2100,6539,6426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4250,2100,6539,6426,,,,,,,,,,0,
General Fund,1,27,Probation,Probation,Travel,http://macoupincountyil.gov/probation.htm,"The line item funds the operation of the Probation office. Through the Illinois Administrative Office of the Courts, a portion of Probation Officer Salaries are reimbursed back to the General Fund each year. Further, a transfer of funds from the Probation Fee Fund is allowable to cover a shortfall in employee salaries at the end of the fiscal year.",Chief Probation and Court Services Officer,1086,2532,4000,4000,4000,4000,4000,4000,-25,161,0,0,0,0,0,0,0,0,0,0,1477,2443,2617,2019,1393,1334,1980,2346,-25,161,0,0,0,0,0,0,0,0,0,
General Fund,1,27,Probation,Probation,Domestic Violence/Sex Offender,http://macoupincountyil.gov/probation.htm,"The line item funds the operation of the Probation office. Through the Illinois Administrative Office of the Courts, a portion of Probation Officer Salaries are reimbursed back to the General Fund each year. Further, a transfer of funds from the Probation Fee Fund is allowable to cover a shortfall in employee salaries at the end of the fiscal year.",Chief Probation and Court Services Officer,0,0,0,0,0,15367,27273,68420,62422,16600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13131,37743,64830,52857,10527,0,0,0,0,0,0,0,0,0,
General Fund,1,27,Probation,Probation,Purchase of Equipment,http://macoupincountyil.gov/probation.htm,"The line item funds the operation of the Probation office. Through the Illinois Administrative Office of the Courts, a portion of Probation Officer Salaries are reimbursed back to the General Fund each year. Further, a transfer of funds from the Probation Fee Fund is allowable to cover a shortfall in employee salaries at the end of the fiscal year.",Chief Probation and Court Services Officer,0,27744,3000,4000,4000,4000,4000,19428,0,6129,4150,0,0,0,0,0,0,0,0,0,0,5511,2222,338,0,214,806,15428,278,1701,4150,0,0,0,0,0,0,0,0,
General Fund,1,27,Probation,Probation,Office Supplies,http://macoupincountyil.gov/probation.htm,"The line item funds the operation of the Probation office. Through the Illinois Administrative Office of the Courts, a portion of Probation Officer Salaries are reimbursed back to the General Fund each year. Further, a transfer of funds from the Probation Fee Fund is allowable to cover a shortfall in employee salaries at the end of the fiscal year.",Chief Probation and Court Services Officer,0,8465,10000,9000,9000,9000,9000,9000,2750,7360,0,0,2856,500,863,500,487,486,516.88,500,0 ,8465,6687,7907,7227,8575,8972,8818,2750,6709,0,0,499,462,863,474,487,486,516.88,
General Fund,1,28,Appellate Assistant Service,Appellate Assistant Service,Payment for Services,,"The Appellate Prosecutor's Service out of the State Attorney General's office is a service utilited by the County to provide civil attorneys for the County to use in union negotiation and when the State's Attorney's Office may have a conflict, among other uses. The yearly expense was paid from this line item until 2009 when it was budgeted in the County Adminstration line item.",State's Attorney,11800,12000,12000,15000,15000,15000,15000,15000,15000,15000,15000,17000,19000,15000,0,0,0,0,0,0,11741,10950,12530,10980,13657,11309,13086,13000,13000,13000,15000,16954,18730,14050,0,0,0,0,0,
General Fund,1,29,Circuit Court,Circuit Court,Salaries & Benefits,http://macoupincountyil.gov/judiciary.htm,"The line item, controlled by the Chief Judge, funds the operation of the Circuit Court and all related costs.",Circuit Clerk,20220,21120,22320,23684,25484,53968,56368,58288,60448,62848,62847,66644,73343,2918,0,0,0,0,0,0,20220,21120,22320,23684,25484,52844,56368,58288,60448,62848,62848,66644,71543,2918,0,0,0,0,0,
General Fund,1,29,Circuit Court,Circuit Court,Office Supplies,http://macoupincountyil.gov/judiciary.htm,"The line item, controlled by the Chief Judge, funds the operation of the Circuit Court and all related costs.",Circuit Clerk,2427,2463,2188,4048,4504,4276,4000,6000,3800,4232,4492,4000,4000,504,2703,2849,2000,2000,2152.22,2000,2194,1876,2188,2395,2251,3721,3955,3755,3269,4232,4493,3998,3820,504,2703,2848,1040,1578,2152.22,
General Fund,1,29,Circuit Court,Circuit Court,Postage,http://macoupincountyil.gov/judiciary.htm,"The line item, controlled by the Chief Judge, funds the operation of the Circuit Court and all related costs.",Circuit Clerk,0,0,116,0,0,0,500,500,400,547,450,450,505,691,491,500,500,672,1000,500,0,0,116,0,0,0,110,110,204,547,384,109,505,521,491,305,337,672,297.78,
General Fund,1,29,Circuit Court,Circuit Court,Court Appointed Attorneys,http://macoupincountyil.gov/judiciary.htm,"The line item, controlled by the Chief Judge, funds the operation of the Circuit Court and all related costs.",Circuit Clerk,53239,42000,40000,50000,53017,55000,55000,55000,52169,53422,49713,60939,82862,13817,44117,24151,26833,47861,84366.55,85000,51373,37708,34378,46833,35630,38019,54279,44272,52077,53422,48555,60190,82771,13817,34389,17737,26833,47861,84366.55,
General Fund,1,29,Circuit Court,Circuit Court,Psychological Evaluations & Testing,http://macoupincountyil.gov/judiciary.htm,"The line item, controlled by the Chief Judge, funds the operation of the Circuit Court and all related costs.",Circuit Clerk,0,1500,3847,2000,3983,4000,2850,4000,1310,0,5142,700,750,0,1300,6100,8000,3500,5000,5000,0,350,2148,1185,3983,1358,615,1445,1310,0,5142,700,750,0,750,1811,3999,1175,3333,
General Fund,1,29,Circuit Court,Circuit Court,Court Reporter Services,http://macoupincountyil.gov/judiciary.htm,"The line item, controlled by the Chief Judge, funds the operation of the Circuit Court and all related costs.",Circuit Clerk,5799,8000,11294,15000,15000,15000,15000,17500,10340,10236,8065,9504,8700,3909,3500,8900,8000,3000,3354.2,1000,5774,7065,10506,6592,5883,6090,11833,11239,9948,8880,6564,5968,7381,3909,3454,8808,7165,1261,1170,
General Fund,1,29,Circuit Court,Circuit Court,Telephone,http://macoupincountyil.gov/judiciary.htm,"The line item, controlled by the Chief Judge, funds the operation of the Circuit Court and all related costs.",Circuit Clerk,2711,2500,2139,2200,2200,2200,2200,2200,2000,2074,2500,2500,2500,498,2600,2000,2000,1783,2000,1500,2711,1989,2096,2008,1485,2143,1726,1915,1775,2056,1851,1914,1972,498,1737,1900,1729,1630,1239.2,
General Fund,1,29,Circuit Court,Circuit Court,"Books, Transcripts, & Periodicals",http://macoupincountyil.gov/judiciary.htm,"The line item, controlled by the Chief Judge, funds the operation of the Circuit Court and all related costs.",Circuit Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5604,8422,6500,3230,319,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5415,8421,1665,1802,319,
General Fund,1,29,Circuit Court,Circuit Court,Witness & Investigations,http://macoupincountyil.gov/judiciary.htm,"The line item, controlled by the Chief Judge, funds the operation of the Circuit Court and all related costs.",Circuit Clerk,0,500,500,500,500,500,1308,1000,433,866,979,1000,1000,0,0,0,0,0,0,0,0,0,0,135,38,210,1308,665,433,866,980,910,280,0,0,0,0,0,0,
General Fund,1,29,Circuit Court,Circuit Court,Equipment Repairs,http://macoupincountyil.gov/judiciary.htm,"The line item, controlled by the Chief Judge, funds the operation of the Circuit Court and all related costs.",Circuit Clerk,2000,2000,2189,2500,2500,2500,2825,3500,2000,1272,1959,2000,2000,104,500,10600,1500,1045,0,0,1117,1600,2189,2107,1973,2096,2825,2170,1807,1272,1959,1427,1125,104,348,10560,345,293,0,
General Fund,1,29,Circuit Court,Circuit Court,Reimbursement to State,http://macoupincountyil.gov/judiciary.htm,"The line item, controlled by the Chief Judge, funds the operation of the Circuit Court and all related costs.",Circuit Clerk,1611,1688,1653,2000,2000,2000,2000,2000,1742,1781,1742,1703,1685,0,0,0,0,0,2000,2000,1611,1688,1653,1863,1713,1639,1725,1703,1742,1781,1743,1703,1685,0,0,0,0,0,1558.48,
General Fund,1,29,Circuit Court,Circuit Court,Blood Tests,http://macoupincountyil.gov/judiciary.htm,"The line item, controlled by the Chief Judge, funds the operation of the Circuit Court and all related costs.",Circuit Clerk,418,500,500,1000,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
General Fund,1,29,Circuit Court,Circuit Court,Miscellaneous,http://macoupincountyil.gov/judiciary.htm,"The line item, controlled by the Chief Judge, funds the operation of the Circuit Court and all related costs.",Circuit Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1698,1750,5690,5186,4991.58,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1698,1703,2159,5186,4991.58,
General Fund,1,29,Circuit Court,Circuit Court,Petit Jurors Expense,http://macoupincountyil.gov/judiciary.htm,"The line item, controlled by the Chief Judge, funds the operation of the Circuit Court and all related costs.",Circuit Clerk,27499,26500,23873,25000,25000,18000,23000,23000,7866,13785,14481,10060,25544,19676,9487,2900,15000,10247,6816.45,8000,23132,17130,20528,21407,20102,15423,14123,17453,7604,13785,14481,10060,25544,19676,3325,2611,13591,10247,4382.37,
General Fund,1,29,Circuit Court,Circuit Court,Grand Jurors Expense,http://macoupincountyil.gov/judiciary.htm,"The line item, controlled by the Chief Judge, funds the operation of the Circuit Court and all related costs.",Circuit Clerk,2000,2000,2000,2000,2000,2000,2517,3000,-45,26,2302,2500,1438,883,3000,3078,4000,1477,3000,4000,745,1016,1921,658,1222,1969,2517,2634,-45,26,2248,1843,1438,883,1784,758,706,1118,1520.8,
General Fund,1,29,Circuit Court,Circuit Court,Equipment,http://macoupincountyil.gov/judiciary.htm,"The line item, controlled by the Chief Judge, funds the operation of the Circuit Court and all related costs.",Circuit Clerk,2400,2400,1797,2000,2000,7000,2000,3500,787,1731,3620,0,0,0,0,0,0,0,0,0,1911,1512,1581,713,1201,5193,1174,1397,787,1731,3621,0,0,0,0,0,0,0,0,
General Fund,1,30,Public Defender,Public Defender,Salaries & Benefits,,"The Public Defender is appointed by the judge when an individual is not able to afford an attorney. The Public Defender provides legal representation in the areas of criminal, misdemeanor, juvenile justice, child protection, paternity, appeals, post-conviction and traffic cases.",Public Defender,74635,77335,85020,85945,88508,91100,93819,94120,97583,100668,101534,107168,108945,113303,176612,149876,156549,183539,185531.58,173000,73363,76836,84520,85213,88289,90600,93344,93613,97083,100668,101035,107168,108945,113303,169259,131860,156549,183539,184695.55,
General Fund,1,30,Public Defender,Public Defender,Telephone,,"The Public Defender is appointed by the judge when an individual is not able to afford an attorney. The Public Defender provides legal representation in the areas of criminal, misdemeanor, juvenile justice, child protection, paternity, appeals, post-conviction and traffic cases.",Public Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,628,625,1418,592.47,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,338,504,1385,475.14,
General Fund,1,30,Public Defender,Public Defender,Travel,,"The Public Defender is appointed by the judge when an individual is not able to afford an attorney. The Public Defender provides legal representation in the areas of criminal, misdemeanor, juvenile justice, child protection, paternity, appeals, post-conviction and traffic cases.",Public Defender,1600,1600,1600,1600,1600,1600,1600,1600,939,0,0,0,187,175,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,150,175,0,0,0,0,0,
General Fund,1,30,Public Defender,Public Defender,Miscellaneous,,"The Public Defender is appointed by the judge when an individual is not able to afford an attorney. The Public Defender provides legal representation in the areas of criminal, misdemeanor, juvenile justice, child protection, paternity, appeals, post-conviction and traffic cases.",Public Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839,1057,3574,0,1018.95,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839,1055,3574,0,1018.95,
General Fund,1,30,Public Defender,Public Defender,Office Expense,,"The Public Defender is appointed by the judge when an individual is not able to afford an attorney. The Public Defender provides legal representation in the areas of criminal, misdemeanor, juvenile justice, child protection, paternity, appeals, post-conviction and traffic cases.",Public Defender,13200,13200,13200,13200,26400,26400,26400,26400,26400,26400,26400,25632,27368,21722,1140,1083,4950,383,0,0,13200,13200,13200,13200,26400,26400,26400,26400,26400,26400,26400,25632,27368,21722,879,511,4800,383,0,
General Fund,1,30,Public Defender,Public Defender,Office Supplies,,"The Public Defender is appointed by the judge when an individual is not able to afford an attorney. The Public Defender provides legal representation in the areas of criminal, misdemeanor, juvenile justice, child protection, paternity, appeals, post-conviction and traffic cases.",Public Defender,1500,1500,1500,1500,1500,1500,1500,1500,702,0,0,0,0,0,0,0,0,0,757.63,2300,0,0,0,195,64,0,0,0,0,0,0,0,0,0,0,0,0,0,757.63,
General Fund,1,30,Public Defender,Public Defender,Publishing,,"The Public Defender is appointed by the judge when an individual is not able to afford an attorney. The Public Defender provides legal representation in the areas of criminal, misdemeanor, juvenile justice, child protection, paternity, appeals, post-conviction and traffic cases.",Public Defender,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
General Fund,1,30,Public Defender,Public Defender,Psychological Evaluations,,"The Public Defender is appointed by the judge when an individual is not able to afford an attorney. The Public Defender provides legal representation in the areas of criminal, misdemeanor, juvenile justice, child protection, paternity, appeals, post-conviction and traffic cases.",Public Defender,3000,3000,4400,4400,4400,4400,4400,4400,2400,3872,7000,0,0,0,0,0,0,0,0,4000,1925,1950,3665,2550,875,1525,830,3295,2250,3650,0,0,0,0,0,0,0,0,0,
General Fund,1,30,Public Defender,Public Defender,Equipment,,"The Public Defender is appointed by the judge when an individual is not able to afford an attorney. The Public Defender provides legal representation in the areas of criminal, misdemeanor, juvenile justice, child protection, paternity, appeals, post-conviction and traffic cases.",Public Defender,0,0,500,500,500,500,476,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
General Fund,1,30,Public Defender,Public Defender,Witness & Investigations,,"The Public Defender is appointed by the judge when an individual is not able to afford an attorney. The Public Defender provides legal representation in the areas of criminal, misdemeanor, juvenile justice, child protection, paternity, appeals, post-conviction and traffic cases.",Public Defender,1500,1500,2599,2599,2599,2599,2599,2599,599,2060,1965,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,2060,21,0,0,0,0,0,0,0,0,
General Fund,1,30,Public Defender,Public Defender,Contractual Employees,,"The Public Defender is appointed by the judge when an individual is not able to afford an attorney. The Public Defender provides legal representation in the areas of criminal, misdemeanor, juvenile justice, child protection, paternity, appeals, post-conviction and traffic cases.",Public Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51748,66761,54279,39314,36000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51748,66750,51500,38500,36000,
General Fund,1,30,Public Defender,Public Defender,Equipment Repair & Maintenance,,"The Public Defender is appointed by the judge when an individual is not able to afford an attorney. The Public Defender provides legal representation in the areas of criminal, misdemeanor, juvenile justice, child protection, paternity, appeals, post-conviction and traffic cases.",Public Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,183,0,0,
General Fund,1,30,Public Defender,Public Defender,Postage,,"The Public Defender is appointed by the judge when an individual is not able to afford an attorney. The Public Defender provides legal representation in the areas of criminal, misdemeanor, juvenile justice, child protection, paternity, appeals, post-conviction and traffic cases.",Public Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.9,500,,,,,,,,,,,,,,,,,,,246.36,
General Fund,1,30,Public Defender,Public Defender,"Books, Transcripts, & Periodicals",,"The Public Defender is appointed by the judge when an individual is not able to afford an attorney. The Public Defender provides legal representation in the areas of criminal, misdemeanor, juvenile justice, child protection, paternity, appeals, post-conviction and traffic cases.",Public Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.47,500,,,,,,,,,,,,,,,,,,,0,
General Fund,1,31,Jury Commission,Jury Commission,Office Supplies,,"The line item, under control of the Chief Judge, funds expenses of the Jury Commission.",Circuit Clerk,0,0,400,0,400,772,1535,900,900,900,1200,1200,614,612,708,652,618,553,500,500,0,0,258,0,309,772,1431,900,0,416,99,892,314,478,599,522,565,382,480,
General Fund,1,31,Jury Commission,Jury Commission,Postage,,"The line item, under control of the Chief Judge, funds expenses of the Jury Commission.",Circuit Clerk,0,0,1050,0,2200,1978,3200,3200,1530,3488,3488,3488,3488,3488,3488,3488,3488,3488,3488,3600,0,0,0,0,2200,1060,3200,3200,0,3488,3488,3488,3488,3488,3488,3488,3488,3488,3488,
General Fund,1,31,Jury Commission,Jury Commission,Telephone,,"The line item, under control of the Chief Judge, funds expenses of the Jury Commission.",Circuit Clerk,0,0,1250,0,1100,1100,665,1100,2898,1400,1100,1100,1098,1100,1000,799,734,799,799,800,0,0,1250,0,835,996,665,991,2898,399,604,651,569,583,798,617,548,617,613.69,
General Fund,1,31,Jury Commission,Jury Commission,Jury Commissioner,,"The line item, under control of the Chief Judge, funds expenses of the Jury Commission.",Circuit Clerk,2500,3000,300,4000,300,150,100,300,200,0,0,0,0,0,3,0,0,0,0,0,2474,2994,131,3473,0,58,100,300,0,0,0,0,0,0,0,0,0,0,0,
General Fund,1,31,Jury Commission,Jury Commission,Miscellaneous,,"The line item, under control of the Chief Judge, funds expenses of the Jury Commission.",Circuit Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,0,
General Fund,1,32,Circuit Clerk,Circuit Clerk,Salaries & Benefits,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,272040,287659,312680,314739,336856,366408,379609,379609,375848,412378,415768,415769,430983,420522,373812,476957,498998,521085,534074.63,456706,272040,287659,312562,312449,323159,335184,352528,364522,370174,364092,372666,392189,388296,419868,373760,416223,498998,521082,527463.03,
General Fund,1,32,Circuit Clerk,Circuit Clerk,Office Supplies,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,8308,9403,14297,23528,18528,18528,20000,20000,20000,22009,19889,20000,20000,22368,15779,21250,13708,7928,13886.56,10594,8308,9370,14297,19296,17965,18109,19566,17773,19599,22009,18605,19807,18859,22368,15779,22732,13708,7928,13886.56,
General Fund,1,32,Circuit Clerk,Circuit Clerk,Postage,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,12820,12000,20604,20995,22407,20224,18528,18528,20196,20196,20196,20196,20196,20196,17773,177,176,176,176,1000,12804,12000,20604,20942,18114,19714,18100,18336,19169,19639,20162,20196,20196,20195,17773,176,176,176,176,
General Fund,1,32,Circuit Clerk,Circuit Clerk,Travel,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,1274,1695,972,1500,1500,1500,1500,1500,1500,1000,554,1000,1079,515,325,464,325,325,325,0,1274,1695,972,477,436,385,502,295,544,34,125,350,1079,389,325,325,325,325,325,
General Fund,1,32,Circuit Clerk,Circuit Clerk,Publishing,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,250,251,0,0,0,0,0,0,0,0,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
General Fund,1,32,Circuit Clerk,Circuit Clerk,Telephone,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,2548,2093,2388,2763,2838,3500,3500,3500,4330,4000,4000,4163,4000,4000,3220,5525,2526,2320,2200,2000,2548,2093,2388,2763,2838,3029,2593,2720,4330,3078,3146,4125,3212,3361,3168,3500,2526,2320,2136.22,
General Fund,1,32,Circuit Clerk,Circuit Clerk,Office Machine Rent,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,5186,5849,6538,5400,5000,5000,5000,5000,5000,5194,5272,5000,5622,4641,5751,5197,2964,2918,3313.06,3000,5186,5849,6539,4519,4754,4622,4892,4816,3767,5194,5273,4790,5622,4641,5751,5196,2964,2918,3313.06,
General Fund,1,32,Circuit Clerk,Circuit Clerk,Insurance,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,375,625,325,325,411,500,500,500,545,762,784,500,500,598,500,637,323,339,12,200,375,625,325,325,411,305,227,405,545,762,784,444,388,598,500,498,323,339,12,
General Fund,1,32,Circuit Clerk,Circuit Clerk,Periodicals,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,0 ,0 ,0 ,0 ,0 ,0 ,0,0,561,926,0,0,0,0,0,0,0,0,7.75,0,0,0,0 ,0,0,0,0,0,554,926,0,0,0,0,0,0,0,0,7.75,
General Fund,1,32,Circuit Clerk,Circuit Clerk,Equipment,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,1618,375,0,0,3600,2000,2000,2000,2000,2000,2000,1819,2000,1850,1030,2125,17139,0,0,1500,1618,375,0,0,1203,1005,367,0,0,1143,538,0,1049,1500,1030,2000,17139,0,0,
General Fund,1,32,Circuit Clerk,Circuit Clerk,Publications,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,0 ,0 ,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
General Fund,1,32,Circuit Clerk,Circuit Clerk,Miscellaneous,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,0 ,0 ,0,0,0,500,500,500,500,500,500,518,370,360,74,19,12,0,0,0,0,0,0,0,0,356,0,0,34,95,0,18,146,103,74,18,0,0,0,
General Fund,1,32,Circuit Clerk,Circuit Clerk,Equipment Purchase & Maintenance,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0,992,589,0,0,0,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992,589,
General Fund,1,33,States Attorney,States Attorney,Salories & Benefits,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,240640,247506,250853,260433,306767,323433,348896,351658,351558,367144,370375,388513,398038,419478,414122,377161,412576,437056,428990.11,391522.4,240640,246449,250853,260433,306767,323331,348896,351299,351558,367144,370377,388514,398039,419428,414122,377161,412561,435976,415368.9,
General Fund,1,33,States Attorney,States Attorney,Office Supplies,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,3000,3560,3634,4722,3300,2683,5514,5304,5508,4651,4817,4143,5727,3008,2521,1593,4664,4000,6357.47,5000,2537,3560,3632,4722,2653,2683,5514,5304,5363,4651,4817,4143,5727,3008,2498,1593,4664,3897,6357.47,
General Fund,1,33,States Attorney,States Attorney,Postage,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,2750,2693,2936,2800,3050,2805,3700,3700,3700,2955,1437,2393,1536,787,1280,186,2393,1500,1472,3500,2312,1700,2936,2756,3050,2805,3381,2365,3443,2885,1437,2393,1536,687,1280,186,2393,1469,1086.72,
General Fund,1,33,States Attorney,States Attorney,Travel,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,0,583,70,1003,1270,454,1969,2580,1435,712,581,2504,1940,2237,2659,770,1993,320,545,0,0,583,70,1003,1270,454,1969,2580,791,712,581,2504,1940,1937,2659,770,1993,320,545,
General Fund,1,33,States Attorney,States Attorney,Publishing,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,1000,1000,867,1000,1000,866,1000,1000,2299,1833,1670,1527,1512,905,1455,781,672,1172,1171.9,2500,734,594,867,945,358,866,965,1388,2255,1833,1670,1527,1512,905,1455,781,672,1021,1145,
General Fund,1,33,States Attorney,States Attorney,Psychological Evaluation & Testing,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,0,1000,0,771,269,0,201,1030,1030,0,0,2775,0,0,0,0,0,0,0,0,0,165,0,753,269,0,0,1030,0,0,0,2775,0,0,0,0,0,0,0,
