Fund,Fund ID,Fund Description,Department,Short Title,Department ID,Control Officer,Link to Website,Department Description,Expense Line,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Department Fund,County Health Department Fund,48,Public Health Adminstrator,,"This fund is composed of all General Revenue funds received for the Health Department and all expenses paid not specifically tied to the WIC Program, Public Transportation, Federally Qualified Health Center or 501c3 activities of the Public Health Department.",Car Seat Program,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Department Fund,County Health Department Fund,48,Public Health Adminstrator,,"This fund is composed of all General Revenue funds received for the Health Department and all expenses paid not specifically tied to the WIC Program, Public Transportation, Federally Qualified Health Center or 501c3 activities of the Public Health Department.",Prenatal Care Program,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Department Fund,County Health Department Fund,48,Public Health Adminstrator,,"This fund is composed of all General Revenue funds received for the Health Department and all expenses paid not specifically tied to the WIC Program, Public Transportation, Federally Qualified Health Center or 501c3 activities of the Public Health Department.",WIC Program,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Department Fund,County Health Department Fund,48,Public Health Adminstrator,,"This fund is composed of all General Revenue funds received for the Health Department and all expenses paid not specifically tied to the WIC Program, Public Transportation, Federally Qualified Health Center or 501c3 activities of the Public Health Department.",Medical Supplies,20000,17000,17000,18000,18000,27000,28000,94000,0,0,0,0,0,0,0,0,0,0,0,0,22715,9045,0,27402,7425,30954,153583,159581,0,0,0,0,0,0,0,0,0,0,0
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Department Fund,County Health Department Fund,48,Public Health Adminstrator,,"This fund is composed of all General Revenue funds received for the Health Department and all expenses paid not specifically tied to the WIC Program, Public Transportation, Federally Qualified Health Center or 501c3 activities of the Public Health Department.",Dental Sealant Program,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Department Fund,County Health Department Fund,48,Public Health Adminstrator,,"This fund is composed of all General Revenue funds received for the Health Department and all expenses paid not specifically tied to the WIC Program, Public Transportation, Federally Qualified Health Center or 501c3 activities of the Public Health Department.",DUI Task Force Expense,0,0,0,0,23000,18000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47874,9951,0,0,0,0,0,0,0,0,0,0,0,0,0
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Department Fund,County Health Department Fund,48,Public Health Adminstrator,,"This fund is composed of all General Revenue funds received for the Health Department and all expenses paid not specifically tied to the WIC Program, Public Transportation, Federally Qualified Health Center or 501c3 activities of the Public Health Department.",Community Access Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804402,0,0,0,0,0,0,0,0,0,0,0
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Department Fund,County Health Department Fund,48,Public Health Adminstrator,,"This fund is composed of all General Revenue funds received for the Health Department and all expenses paid not specifically tied to the WIC Program, Public Transportation, Federally Qualified Health Center or 501c3 activities of the Public Health Department.",Miscellaneous,66361,47861,47861,86800,69800,69800,86500,71000,0,0,0,0,0,0,0,0,0,0,0,0,31503,42562,355000,129838,217537,273130,166331,136200,0,0,0,0,0,0,0,0,0,0,0
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Department Fund,County Health Department Fund,48,Public Health Adminstrator,,"This fund is composed of all General Revenue funds received for the Health Department and all expenses paid not specifically tied to the WIC Program, Public Transportation, Federally Qualified Health Center or 501c3 activities of the Public Health Department.",All Other Health Related Expenses,0,0,0,0,0,0,0,0,795305,338500,338500,593104,631585,700000,1700000,620000,623733,0,3809137,3241390,0,0,275000,0,0,0,0,0,867451,632862,525995,647313,671681,616293,1453645,580373,637460,0,2957588.47
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,65,Public Health Adminstrator,,"This fund was combined with Community Care Health Center special fund, combining medical and dental accounts for the Federally Qualified Health Center.",Personal Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184282,0,0
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,65,Public Health Adminstrator,,"This fund was combined with Community Care Health Center special fund, combining medical and dental accounts for the Federally Qualified Health Center.",Medical Supplies,0,0,0,0,0,0,6000,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4758,11671,3556,8171,0,0,0,0,0,0,0,0,0,0,0
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,65,Public Health Adminstrator,,"This fund was combined with Community Care Health Center special fund, combining medical and dental accounts for the Federally Qualified Health Center.",Contractual,0,0,0,0,0,0,7000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5750,5187,0,0,0,0,0,0,0,0,0,0,0
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,65,Public Health Adminstrator,,"This fund was combined with Community Care Health Center special fund, combining medical and dental accounts for the Federally Qualified Health Center.",Occupancy Expense,0,0,0,0,0,0,5000,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,2550,3083,6413,0,0,0,0,0,0,0,0,0,0,0
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,65,Public Health Adminstrator,,"This fund was combined with Community Care Health Center special fund, combining medical and dental accounts for the Federally Qualified Health Center.",Repairs,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1602,0,0,0,0,0,0,0,0,0,0,0,0
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,65,Public Health Adminstrator,,"This fund was combined with Community Care Health Center special fund, combining medical and dental accounts for the Federally Qualified Health Center.",Office Expense,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,1404,1341,401,0,0,0,0,0,0,0,0,0,0,0
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,65,Public Health Adminstrator,,"This fund was combined with Community Care Health Center special fund, combining medical and dental accounts for the Federally Qualified Health Center.",Equipment,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398,0,0,0,0,0,0,0,0,0,0,0,0
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,65,Public Health Adminstrator,,"This fund was combined with Community Care Health Center special fund, combining medical and dental accounts for the Federally Qualified Health Center.",Miscellaneous,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,138167.05,0,0,0,0,0,22,494,195,0,0,0,0,0,0,0,0,0,0,0,627850
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Department M&M Dental Clinic,County Health Department M&M Dental Clinic,65,Public Health Adminstrator,,"This fund was combined with Community Care Health Center special fund, combining medical and dental accounts for the Federally Qualified Health Center.",Health & Welfare,0,0,0,0,0,0,0,0,0,0,0,444682,560000,560300,385000,492000,142000,0,0,0,0,0,0,0,0,0,0,0,63271,165356,252183,508769,485344,171744,111739,93477,61895,0,0
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",Mental Health Fund,Mental Health Fund,68,Public Health Adminstrator,,This special fund budget collects funding resulting from the county tax levy to be distributed to the Locust Street Resource Center on a quarterly basis.,Macoupin County Mental Health Association,160000,160000,160000,175000,175000,175000,176000,178500,195638,180000,180000,180000,182000,180000,180000,254000,180000,218000,180000,180000,127454,190681,174844,174844,210211,176246,141867,139704,177330,215435,144484,179402,181942,179489,174353,254200,180000,217845,180000
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.","Macoupin Community Health Center, Inc.","Macoupin Community Health Center, Inc.",71,Public Health Adminstrator,,This fund is composed of all revenue and expenses for the Federally Qualified Health Center of the Public Health Department (100% Federally-funded).,Health & Welfare,0,0,0,0,0,0,0,0,0,0,0,0,0,132000,25000,25000,25000,0,262500,2138000,0,0,0,0,0,0,0,0,0,0,0,0,33319,13765,21196,23545,5451,0,17655.73
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Department - ILCHS,County Health Department - ILCHS,88,Public Health Adminstrator,,This fund exists for 501c3 activities of the Public Health Department.,Health & Welfare,0,0,0,0,0,0,0,0,0,0,0,0,0,105000,7500,0,0,0,262500,138300,0,0,0,0,0,0,0,0,0,0,0,0,0,49529,1968,0,0,0,17655.73
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",County Health Commcare Fund,County Health Commcare Fund,113,Public Health Adminstrator,,This fund is composed of all revenue and expenses for the Federally Qualified Health Center of the Public Health Department (100% Federally-funded).,Health & Welfare,0,0,0,0,0,0,0,0,0,0,0,90000,120200,433000,520000,735620,444627,0,2138000,2206715,0,0,0,0,0,0,0,0,0,10130,17711,24015,130603,396508,164501,185051,213140,0,1725712.99
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",Public Transportation,Public Transportation,122,Public Health Adminstrator,,This fund contains all revenue and expenses for the Macoupin County Public Transportation Program of the Public Health Department. Program funding for this fund is made up of approximately a 50/50 split between federal and state.,Public Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752377,656023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159629,0,192876.18
Health Fund,4,"These special funds are under the control of the Public Health Department Adminstrator whose department's goal is to  to optimize health and promote health equity for all people and communities of Macoupin County through leadership and appropriate collaborations between County, local, state and federal officials, as well as private health promoting institutions, focusing on health promotion and disease prevention, while advocating for the environmental and social conditions necessary to advance physical, mental and social well-being.",Public Transportation,Public Transportation,122,Public Health Adminstrator,,This fund contains all revenue and expenses for the Macoupin County Public Transportation Program of the Public Health Department. Program funding for this fund is made up of approximately a 50/50 split between federal and state.,Health & Welfare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0
Highway Fund,3,"These special funds are under the control of the County Engineer for the use of the highway department in the planning, design, construction, and maintenance of the 222 miles of county highways and the 41 bridges on the county highway system.",County Motor Fuel Tax Fund,County Motor Fuel Tax Fund,46,County Highway Engineer,,Motor Fuel Taxes received by the County represent the county’s share of the fuel taxes collected by the State of Illinois and are used to support eligible highway maintenance and construction. All expenditures of Motor Fuel Tax monies are subject to the approval of the State. The County Engineer salary is paid at a set rate through this fund.,Salaries,56500,56500,0,58000,58000,58000,61800,100000,70000,70000,90000,90000,90000,93000,94800,96700,98600,100600,0,0,52723,46750,0,29128,50417,58300,61800,63033,67465,69321,86355,88066,89586,91580,94177,96362,98072,98610,0
Highway Fund,3,"These special funds are under the control of the County Engineer for the use of the highway department in the planning, design, construction, and maintenance of the 222 miles of county highways and the 41 bridges on the county highway system.",County Motor Fuel Tax Fund,County Motor Fuel Tax Fund,46,County Highway Engineer,,Motor Fuel Taxes received by the County represent the county’s share of the fuel taxes collected by the State of Illinois and are used to support eligible highway maintenance and construction. All expenditures of Motor Fuel Tax monies are subject to the approval of the State. The County Engineer salary is paid at a set rate through this fund.,Contractual,320000,420000,0,400000,400000,420000,520000,1000000,900000,1000000,1000000,1000000,1500000,2007000,1590000,1606300,1606300,1604300,2600000,1684250,320000,136179,0,419457,420000,450000,590451,572000,0,0,500000,700000,837215,1145247,740862,0,70795,423052,1585752.35
Highway Fund,3,"These special funds are under the control of the County Engineer for the use of the highway department in the planning, design, construction, and maintenance of the 222 miles of county highways and the 41 bridges on the county highway system.",County Motor Fuel Tax Fund,County Motor Fuel Tax Fund,46,County Highway Engineer,,Motor Fuel Taxes received by the County represent the county’s share of the fuel taxes collected by the State of Illinois and are used to support eligible highway maintenance and construction. All expenditures of Motor Fuel Tax monies are subject to the approval of the State. The County Engineer salary is paid at a set rate through this fund.,Commodities,380000,380000,0,440000,440000,624000,680000,900000,800000,900000,900000,900000,900000,900000,1317000,1317000,900000,900000,0,0,366495,608748,0,359111,457335,499227,788774,199868,590374,848523,502560,566388,501777,394538,698962,573726,775043,665265,0
Highway Fund,3,"These special funds are under the control of the County Engineer for the use of the highway department in the planning, design, construction, and maintenance of the 222 miles of county highways and the 41 bridges on the county highway system.",County Motor Fuel Tax Fund,County Motor Fuel Tax Fund,46,County Highway Engineer,,Motor Fuel Taxes received by the County represent the county’s share of the fuel taxes collected by the State of Illinois and are used to support eligible highway maintenance and construction. All expenditures of Motor Fuel Tax monies are subject to the approval of the State. The County Engineer salary is paid at a set rate through this fund.,Capital Outlay,50000,50000,0,100000,100000,100000,1000000,465500,200000,200000,200000,410000,410000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193360,0,0,0,0,0,0,0,0,0,0,0
Highway Fund,3,"These special funds are under the control of the County Engineer for the use of the highway department in the planning, design, construction, and maintenance of the 222 miles of county highways and the 41 bridges on the county highway system.",County Motor Fuel Tax Fund,County Motor Fuel Tax Fund,46,County Highway Engineer,,Motor Fuel Taxes received by the County represent the county’s share of the fuel taxes collected by the State of Illinois and are used to support eligible highway maintenance and construction. All expenditures of Motor Fuel Tax monies are subject to the approval of the State. The County Engineer salary is paid at a set rate through this fund.,Miscellaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415100,395100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highway Fund,3,"These special funds are under the control of the County Engineer for the use of the highway department in the planning, design, construction, and maintenance of the 222 miles of county highways and the 41 bridges on the county highway system.",County Highway Fund,County Highway Fund,60,County Highway Engineer,,"This fund supports the Highway Department as its major operating fund used by the Department to fund personnel and personnel-related costs in addition to ensuring the constructing, maintaining, and repairing of County-owned roads throughout the year. The County Highway Fund is derived from the County Highway tax levy as authorized by State Statute at a maximum rate of .10% of assessed valuation.",Salaries,455272,481600,481600,536000,536000,570000,587000,660000,660000,665000,675000,660000,680000,710000,682100,721000,746000,785000,1656250,1684250,497989,466723,0,492952,538572,530260,561087,607093,546794,645447,582251,627680,643547,668554,640226,673543,726490,690352,1441167.69
Highway Fund,3,"These special funds are under the control of the County Engineer for the use of the highway department in the planning, design, construction, and maintenance of the 222 miles of county highways and the 41 bridges on the county highway system.",County Highway Fund,County Highway Fund,60,County Highway Engineer,,"This fund supports the Highway Department as its major operating fund used by the Department to fund personnel and personnel-related costs in addition to ensuring the constructing, maintaining, and repairing of County-owned roads throughout the year. The County Highway Fund is derived from the County Highway tax levy as authorized by State Statute at a maximum rate of .10% of assessed valuation.",Contractual,55800,44700,44700,46900,14800,14600,26100,53500,40200,72200,72100,311400,325700,375300,413800,376400,370600,407300,0,0,38083,52411,0,41287,6529,11529,125366,6860,102187,117000,211965,193848,192583,449902,285879,172643,253510,366545,0
Highway Fund,3,"These special funds are under the control of the County Engineer for the use of the highway department in the planning, design, construction, and maintenance of the 222 miles of county highways and the 41 bridges on the county highway system.",County Highway Fund,County Highway Fund,60,County Highway Engineer,,"This fund supports the Highway Department as its major operating fund used by the Department to fund personnel and personnel-related costs in addition to ensuring the constructing, maintaining, and repairing of County-owned roads throughout the year. The County Highway Fund is derived from the County Highway tax levy as authorized by State Statute at a maximum rate of .10% of assessed valuation.",Capital Outlay,52000,61000,61000,59400,71400,121400,171400,180000,258000,235000,235000,178000,218000,218000,231000,223500,226000,224000,0,0,26564,43331,0,216055,54536,105073,89609,98631,157832,144572,0,178879,175591,135992,153560,67448,100323,82034,0
Highway Fund,3,"These special funds are under the control of the County Engineer for the use of the highway department in the planning, design, construction, and maintenance of the 222 miles of county highways and the 41 bridges on the county highway system.",County Highway Fund,County Highway Fund,60,County Highway Engineer,,"This fund supports the Highway Department as its major operating fund used by the Department to fund personnel and personnel-related costs in addition to ensuring the constructing, maintaining, and repairing of County-owned roads throughout the year. The County Highway Fund is derived from the County Highway tax levy as authorized by State Statute at a maximum rate of .10% of assessed valuation.",Commodities,213500,235000,235000,217800,219000,217000,218000,170000,199000,185000,178000,154500,191000,195000,231000,222000,215300,210800,0,0,204495,175843,0,125633,133693,122675,17228,137057,254678,106024,210693,162506,186911,205276,168619,332418,247137,218270,0
Highway Fund,3,"These special funds are under the control of the County Engineer for the use of the highway department in the planning, design, construction, and maintenance of the 222 miles of county highways and the 41 bridges on the county highway system.",County Highway Fund,County Highway Fund,60,County Highway Engineer,,"This fund supports the Highway Department as its major operating fund used by the Department to fund personnel and personnel-related costs in addition to ensuring the constructing, maintaining, and repairing of County-owned roads throughout the year. The County Highway Fund is derived from the County Highway tax levy as authorized by State Statute at a maximum rate of .10% of assessed valuation.",Miscellaneous,11000,4000,4000,5000,24000,24000,24000,24000,24000,24000,24000,14000,0,14000,0,15000,0,0,0,0,0,392,0,3701,1084,1499,3148,3630,0,0,0,11323,6940,6521,5492,3922,4329,2193,0
Highway Fund,3,"These special funds are under the control of the County Engineer for the use of the highway department in the planning, design, construction, and maintenance of the 222 miles of county highways and the 41 bridges on the county highway system.",Gravel Road Fund,Gravel Road Fund,61,County Highway Engineer,,The Gravel Road fund was money used to support road projects for certain stretches of road the County was in possession of. The fund has been closed.,Contractual,3000,3000,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highway Fund,3,"These special funds are under the control of the County Engineer for the use of the highway department in the planning, design, construction, and maintenance of the 222 miles of county highways and the 41 bridges on the county highway system.",Federal Aid Matching Fund,Federal Aid Matching Fund,62,County Highway Engineer,,The Matching Tax program provides local property tax revenue to match State/Federal funds to complete eligible highway projects.,Contractual,80000,50000,70000,70000,70000,90000,100000,700000,200000,200000,200000,200000,300000,240000,550000,450000,450000,500000,600000,750000,109165,72490,0,60605,23120,24110,84868,139917,78441,74196,121192,146636,287160,217216,505473,167283,380119,0,590448.39
Highway Fund,3,"These special funds are under the control of the County Engineer for the use of the highway department in the planning, design, construction, and maintenance of the 222 miles of county highways and the 41 bridges on the county highway system.",Federal Aid Matching Fund,Federal Aid Matching Fund,62,County Highway Engineer,,The Matching Tax program provides local property tax revenue to match State/Federal funds to complete eligible highway projects.,Capital Outlay,270000,160000,140000,140000,155000,190000,200000,0,500000,500000,400000,65000,65000,75000,0,100000,100000,100000,0,0,225298,8086,0,126984,41987,45611,10521,152558,252279,258531,404966,90570,39367,663,0,144603,75254,373249,0
Highway Fund,3,"These special funds are under the control of the County Engineer for the use of the highway department in the planning, design, construction, and maintenance of the 222 miles of county highways and the 41 bridges on the county highway system.",Federal Aid Matching Fund,Federal Aid Matching Fund,62,County Highway Engineer,,The Matching Tax program provides local property tax revenue to match State/Federal funds to complete eligible highway projects.,Commodities,140000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highway Fund,3,"These special funds are under the control of the County Engineer for the use of the highway department in the planning, design, construction, and maintenance of the 222 miles of county highways and the 41 bridges on the county highway system.",Federal Aid Matching Fund,Federal Aid Matching Fund,62,County Highway Engineer,,The Matching Tax program provides local property tax revenue to match State/Federal funds to complete eligible highway projects.,Miscellaneous,60000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highway Fund,3,"These special funds are under the control of the County Engineer for the use of the highway department in the planning, design, construction, and maintenance of the 222 miles of county highways and the 41 bridges on the county highway system.",County Township Bridge Bond Fund,County Township Bridge Bond Fund,63,County Highway Engineer,,"State Statute provides for a County Bridge Fund derived from a County Bridge Fund Levy with a maximum rate of .05% of assessed valuation. Monies derived from this levy must be placed in a separate fund. This fund is to be used for meeting one-half the cost of bridge, culvert and drainage structure projects with a road district furnishing the remaining one-half, for other joint bridge projects with any other highway authority through mutual agreements, and for bridges, culverts and drainage structures on County Highways when the above commitments have been fulfilled (605 ILCS 5/5 -602).",Contractual,90000,90000,90000,50000,50000,83000,60000,605000,60000,60000,48000,350000,450000,450000,769900,450000,450000,450000,600000,550000,4646,168671,0,343252,89048,371385,0,58553,28560,7662,161793,76401,38288,658512,437138,0,0,0,586833.53
