Function,Agency,Fund Type,FP Category,Fund,Subfund,Subfund Name,2025-26  Estimates,2024-25  Estimates,2023-24  Actuals,2022-23  Actuals,2021-22  Actuals,2020-21  Actuals,2019-20  Actuals,2018-19  Actuals,2017-18  Actuals,2016-17  Actuals,2015-16  Actuals,2014-15  Actuals,2013-14  Actuals,2012-13  Actuals,2011-12  Actuals,2010-11  Actuals,2009-10  Actuals,2008-09  Actuals,2007-08  Actuals,2006-07  Actuals,2005-06  Actuals,2004-05  Actuals,2003-04  Actuals,2002-03  Actuals,2001-02  Actuals,2000-01  Actuals,1999-00  Actuals,1998-99  Actuals,1997-98  Actuals,1996-97  Actuals,1995-96  Actuals,1994-95  Actuals
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Federal,Assistance and Grants,Federal Health and Human Services Fund,25100,Federal HHS,"55,965","70,965","72,198","102,486","33,339","51,745","40,931","54,978","28,887","37,922","28,139","28,525","28,692","32,063","42,859","76,313","39,723","41,390","24,005","9,388","8,901","16,027","9,258","15,429","10,443","8,316","8,330","7,743","4,551","7,931","5,461","10,997"
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Federal,Fringe Benefits,Federal Health and Human Services Fund,25100,Federal HHS,612,612,940,645,612,0 ,617,609,"1,166",435,489,548,401,352,306,331,316,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,29,31,21,40,0 ,50
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Federal,Indirect Costs,Federal Health and Human Services Fund,25100,Federal HHS,16,16,27,16,16,0 ,19,19,27,9,10,11,1,0 ,11,22,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Federal,Non-Personal Service,Federal Health and Human Services Fund,25100,Federal HHS,"10,000","10,000",190,206,"14,986","2,067","1,047",171,0 ,0 ,0 ,280,449,33,106,0 ,121,73,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,140,407,"1,115",822,"1,201","1,576"
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Federal,Personal Service,Federal Health and Human Services Fund,25100,Federal HHS,"1,065","1,065","1,475","1,042","1,060",0 ,"1,012",975,"2,036",813,913,943,858,879,855,0 ,797,333,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,92,106,99,99,106,345
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Federal,Assistance and Grants,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0 ,0 ,0 ,0 ,0 ,0 ,0 ,605,"1,875","3,570","4,604","5,255","3,333","4,452","4,664","4,931","5,160","6,127","3,930","4,972","3,422","2,777","6,911","2,932","2,969","5,590","3,274","5,092","5,162","4,015","5,010","3,265"
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,69,140,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,316,78,0 ,0 ,0 ,0 ,0 ,5,4
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,652,563,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Federal,Assistance and Grants,Federal Miscellaneous Operating Grants Fund,25542,Cares Act,0 ,0 ,0 ,0 ,1,18,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25542,Cares Act,0 ,0 ,0 ,0 ,"(9,131)","23,265",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25542,Cares Act,0 ,0 ,0 ,0 ,"2,327",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,25542,Cares Act,0 ,0 ,0 ,0 ,"(15,822)","40,314",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Federal,Non-Personal Service,Federal USDA / Food and Nutrition Services Fund,25000,Fed USDA/FNS,0 ,0 ,0 ,0 ,0 ,0 ,0 ,153,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Non-Personal Service,Combined Expendable Trust,201HH,OMH Grant & Beq,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,65,70,20,3,5,6,7,5,9,6,10,24,6,12,14,45,13,13,16,26,4,6,11,2
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Assistance and Grants,Combined Expendable Trust,20205,Mental Illness,75,247,92,213,0 ,45,1,65,56,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Non-Personal Service,Combined Expendable Trust,20209,Combined Gifts,225,225,76,73,40,87,86,44,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Assistance and Grants,HCRA Resources,20805,Enhanced Com,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9,"77,512","73,740","66,151","68,565","67,419","70,185","39,419","18,163",0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Indirect Costs,HCRA Resources,20805,Enhanced Com,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-339,-394,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Non-Personal Service,HCRA Resources,20805,Enhanced Com,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"3,900","3,900","3,900","3,900","4,239","3,690","4,349","5,544",0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Personal Service,HCRA Resources,20805,Enhanced Com,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"15,700","15,700","15,700","15,700","15,700","16,304","15,252","9,756",0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Non-Personal Service,Mental Hygiene Gifts and Donations Fund,20000,Ment Hyg Gifts,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4,34,67,64,53,72,42,74,112,55,72,72,62,193,167,195,301,260,238,170,80,75,67,124,128
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Assistance and Grants,Miscellaneous State Special Revenue,21907,Mental Hygiene,0 ,0 ,0 ,0 ,0 ,0 ,0 ,(58),"907,550","907,946","857,293","802,807","743,106","700,285","696,132","566,374","526,505","525,266",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21907,Mental Hygiene,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(10,681)","193,397","192,230","149,711","196,274","191,169","205,755","131,270","207,411","174,536","233,604",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,21907,Mental Hygiene,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"8,959","9,087","7,710","8,198","9,688","10,082","8,340","13,410","10,620",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21907,Mental Hygiene,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(2,528)","62,209","61,787","92,559","98,235","84,470","85,180","123,137","162,630","172,330","221,516",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21907,Mental Hygiene,0 ,0 ,0 ,0 ,0 ,0 ,0 ,(3),"308,826","304,820","308,172","287,888","287,350","317,916","494,398","425,248","403,158","555,244",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21909,M H Patient Inc,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(33,976)","457,330","429,266","455,743","409,884","394,226","359,255","398,813","351,994","308,794","237,625",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,21909,M H Patient Inc,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"20,085","19,223","20,261","22,548","22,631","19,192","25,436","22,794","18,477",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21909,M H Patient Inc,0 ,0 ,0 ,0 ,0 ,0 ,0 ,(274),"184,675","178,195","170,463","174,644","190,843","167,436","132,232","109,100","107,427","62,965",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21909,M H Patient Inc,0 ,0 ,0 ,0 ,0 ,0 ,0 ,(51),"761,575","767,744","815,427","789,251","796,838","753,339","586,639","719,843","696,921","547,961","543,167","485,381","575,926","534,730","622,709","486,226","378,100","494,540","525,435","547,865","647,862","673,593","655,353","673,430"
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219JC,Cont Recov Acct,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"4,344",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Assistance and Grants,Miscellaneous State Special Revenue,22025,Comm Svce Assis,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,204,20,573,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22057,Cook/Chill Acco,"1,000","1,000",19,24,0 ,0 ,0 ,0 ,832,0 ,0 ,0 ,0 ,41,0 ,0 ,0 ,358,400,0 ,250,"1,240",325,774,465,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22086,OMH-Research OH,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,516,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22086,OMH-Research OH,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,73,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22086,OMH-Research OH,"2,920","2,920","2,486","2,486","4,972",0 ,"2,486","2,486","2,486","2,486","2,486","2,486","2,486","2,486","2,564","2,460","2,460","2,848","2,848","3,560","3,560","3,560","3,560","3,488","3,427","6,662","2,938","2,550",0 ,"2,770","4,076","2,983"
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22086,OMH-Research OH,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,164,0 ,"1,710",0 ,0 ,190,136,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22126,St Justice Inst,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,100,80,18,60,19,0 ,0 ,60,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Assistance and Grants,Miscellaneous State Special Revenue,22128,Med Reimb Acct,"1,000",828,0 ,12,66,91,30,280,774,"1,483",663,227,573,"1,236",740,658,"2,743",0 ,"1,846",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22198,HEP,300,300,1,4,0 ,1,16,15,11,5,14,5,5,47,17,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22215,Delivery Transf,"1,000","1,000",61,80,280,202,181,34,6,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Fringe Benefits,NYS Cannabis Revenue,24802,NYS Drug Tr&Ed,393,388,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Indirect Costs,NYS Cannabis Revenue,24802,NYS Drug Tr&Ed,18,18,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Non-Personal Service,NYS Cannabis Revenue,24802,NYS Drug Tr&Ed,63,63,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,
Mental Hygiene,"Mental Health, Office of",Special Revenue Funds - Other,Personal Service,NYS Cannabis Revenue,24802,NYS Drug Tr&Ed,632,632,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,
Mental Hygiene,"Mental Hygiene, Department of",Capital Projects Funds - Other,Capital Projects,Mental Hygiene Facilities Capital Improvement,323CC,MH Cap Imprv Au,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,812
Mental Hygiene,"Mental Hygiene, Department of",Debt Service Funds,Debt Service,Mental Health Services Fund,40100,M. Health Servi,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"256,156","165,076","309,170","316,827","320,936","323,227","286,449","269,716","247,575","234,654","203,966"
Mental Hygiene,"Mental Hygiene, Department of",General Fund,Assistance and Grants,Local Assistance Account,10000,Local Assistnce,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"8,125","4,000",0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Hygiene, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21907,Mental Hygiene,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"308,114",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"Mental Hygiene, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21909,M H Patient Inc,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,204,227,219,228,312,293,411,345,175,204,237,199,"1,232","1,739","1,654",332,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"People with Developmental Disabilities, Office for",Capital Projects Funds - Other,Assistance and Grants,Capital Projects Fund,30000,Capital Project,"3,879","3,879",899,955,879,867,"5,422","1,020","2,044",817,"3,050","2,215",350,"3,826","3,300",751,"1,517","18,341","15,895","17,535","15,485","17,852","16,104","14,607","9,527","8,383","9,063","3,526","8,986","9,735","11,913","22,617"
Mental Hygiene,"People with Developmental Disabilities, Office for",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,30000,Capital Project,"106,494","91,307","102,466","84,555","62,868","60,628","79,306","89,618","68,009","61,833","32,523","38,917","33,448","28,483","31,969","17,290","23,891","24,163","31,352","27,732","28,775","24,719","27,627","29,694","29,351","26,042","24,101","27,126","19,763","18,485","20,320","13,001"
Mental Hygiene,"People with Developmental Disabilities, Office for",Capital Projects Funds - Other,Assistance and Grants,Mental Hygiene Facilities Capital Improvement,32300,MH-Capital Impr,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,009",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"People with Developmental Disabilities, Office for",Capital Projects Funds - Other,Capital Projects,Mental Hygiene Facilities Capital Improvement,32300,MH-Capital Impr,"7,756","7,458",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,
Mental Hygiene,"People with Developmental Disabilities, Office for",Capital Projects Funds - Other,Assistance and Grants,Mental Hygiene Facilities Capital Improvement,323CC,MH Cap Imprv Au,0 ,0 ,0 ,0 ,0 ,197,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"5,739",56,909,"2,306","1,236","3,224",0 ,"1,145","3,465","11,602","10,405"
Mental Hygiene,"People with Developmental Disabilities, Office for",Capital Projects Funds - Other,Capital Projects,Mental Hygiene Facilities Capital Improvement,323CC,MH Cap Imprv Au,"89,971","36,935","38,405","28,675","35,367","38,129","17,295","6,868","2,000","7,220","3,521","6,820","5,687","6,401","6,450","6,328","6,376","7,022","4,746","7,526","4,308","2,367","3,149","4,075","1,689","4,233","10,523","14,334","9,584","12,306","20,065","51,173"
Mental Hygiene,"People with Developmental Disabilities, Office for",General Fund,Assistance and Grants,Community Projects Fund,10251,Comm Proj AA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,37,271,714,"2,480","2,482","1,228","2,175",830,687,762,502,"1,267",712,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"People with Developmental Disabilities, Office for",General Fund,Assistance and Grants,Community Projects Fund,10252,Comm Proj BB,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,1,166,516,11,39,24,0 ,2,0 ,0 ,11,30,35,52,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"People with Developmental Disabilities, Office for",General Fund,Assistance and Grants,Community Projects Fund,10253,Comm Proj CC,0 ,0 ,0 ,10,8,5,37,48,117,89,3,519,0 ,0 ,62,487,"1,293","1,465","1,921",270,"2,205","1,473",499,848,364,"1,242",960,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"People with Developmental Disabilities, Office for",General Fund,Assistance and Grants,Community Projects Fund,10255,Comm Proj EE,0 ,0 ,0 ,3,0 ,0 ,23,4,26,3,81,0 ,0 ,0 ,0 ,32,75,71,85,0 ,0 ,0 ,2,47,0 ,27,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"People with Developmental Disabilities, Office for",General Fund,Assistance and Grants,Community Projects Fund,10256,Comm Proj GG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,9,43,78,162,0 ,0 ,10,0 ,90,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"People with Developmental Disabilities, Office for",General Fund,Assistance and Grants,Local Assistance Account,10000,Local Assistnce,"4,319,937","2,782,048","4,509,629","2,534,478","2,812,682","387,336","1,741,609","520,535","438,058","583,120","863,373","1,026,217","915,647","1,500,227","1,594,388","1,556,551","1,476,079","1,432,557","605,975","490,547","414,997","706,314","639,998","628,392","666,340","598,467","571,756","555,649","516,469","453,588","660,678","645,772"
Mental Hygiene,"People with Developmental Disabilities, Office for",General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,"264,811","228,749","198,681","199,522","174,001","180,704","195,647","187,811",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,21,"246,676","251,241","261,645","76,537","36,273","98,497","94,719","95,902","88,705","98,949","158,402","103,694","67,097","67,236"
Mental Hygiene,"People with Developmental Disabilities, Office for",General Fund,Personal Service,State Operations Account,10050,State Purposes,"1,578,699","1,476,035","1,454,550","1,399,093","1,201,387","1,139,105","1,161,329","1,142,604",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"215,395","192,968","187,830","78,071","11,781","39,861","49,458","100,428","38,208","20,444","18,611","9,041","10,939","-3,655"
Mental Hygiene,"People with Developmental Disabilities, Office for",Special Revenue Funds - Federal,Fringe Benefits,Federal Block Grants Fund,25250,HHS Block Grant,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,10,19,0 
Mental Hygiene,"People with Developmental Disabilities, Office for",Special Revenue Funds - Federal,Non-Personal Service,Federal Block Grants Fund,25250,HHS Block Grant,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,64,54,62,79,5
Mental Hygiene,"People with Developmental Disabilities, Office for",Special Revenue Funds - Federal,Personal Service,Federal Block Grants Fund,25250,HHS Block Grant,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,24,34,-23,91
Mental Hygiene,"People with Developmental Disabilities, Office for",Special Revenue Funds - Federal,Non-Personal Service,Federal Education Fund,25200,Fed Education,425,425,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22,0 ,494,427,16,664,84,413,3,30,15,24,11,15,13,13,10,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"People with Developmental Disabilities, Office for",Special Revenue Funds - Federal,Non-Personal Service,Federal Education Fund,252FS,Federal Stimulu,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,6,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"People with Developmental Disabilities, Office for",Special Revenue Funds - Federal,Assistance and Grants,Federal Health and Human Services Fund,25100,Federal HHS,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"8,523","8,617","(4,279)","4,279",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Mental Hygiene,"People with Developmental Disabilities, Office for",Special Revenue Funds - Federal,Fringe Benefits,Federal Health and Human Services Fund,25100,Federal HHS,0 ,0 ,95,162,60,83,142,78,0 ,0 ,0 ,0 ,0 ,0 ,47,19,57,10,45,0 ,0 ,0 ,0 ,0 ,299,226,321,106,257,253,150,96
Mental Hygiene,"People with Developmental Disabilities, Office for",Special Revenue Funds - Federal,Indirect Costs,Federal Health and Human Services Fund,25100,Federal HHS,0 ,0 ,3,5,2,2,4,2,0 ,0 ,0 ,0 ,0 ,0 ,3,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,42,0 ,0 ,0 ,0 ,0 ,0 
