Agency,1996-97  Actuals,Fund Type,1998-99  Actuals,2006-07  Actuals,2010-11  Actuals,Function,2013-14  Actuals,FP Category,2003-04  Actuals,2009-10  Actuals,2007-08  Actuals,Fund,2000-01  Actuals,2015-16  Estimates,2005-06  Actuals,Subfund Name,2008-09  Actuals,2002-03  Actuals,1999-00  Actuals,2001-02  Actuals,Subfund,1994-95  Actuals,2012-13  Actuals,1995-96  Actuals,2011-12  Actuals,2014-15  Estimates,1997-98  Actuals,2004-05  Actuals,Fund Description,FP Category Description,Fund Type Description
"Probation and Correctional Alternatives, Division of",0.0,Special Revenue Funds - Federal,0.0,0.0,0.0,Public Protection/Criminal Justice,0.0,Indirect Costs,0.0,2000.0,4000.0,Federal Miscellaneous Operating Grants Fund,0.0,0.0,0.0,Fed Oper Grant,1000.0,0.0,0.0,0.0,25300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,To account for miscellaneous Federal grants that are each earmarked for specific purposes.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"State Police, Division of",0.0,Special Revenue Funds - Federal,0.0,21000.0,10000.0,Public Protection/Criminal Justice,0.0,Indirect Costs,278000.0,42000.0,6000.0,Federal Miscellaneous Operating Grants Fund,352000.0,0.0,61000.0,Fed Oper Grant,15000.0,294000.0,0.0,0.0,25300,0.0,0.0,0.0,0.0,0.0,0.0,112000.0,To account for miscellaneous Federal grants that are each earmarked for specific purposes.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Victim Services, Office of",0.0,Special Revenue Funds - Federal,0.0,7000.0,5000.0,Public Protection/Criminal Justice,0.0,Indirect Costs,17000.0,2000.0,5000.0,Federal Miscellaneous Operating Grants Fund,53000.0,2000.0,18000.0,Fed Oper Grant,6000.0,47000.0,0.0,0.0,25300,0.0,0.0,0.0,6000.0,2000.0,0.0,3000.0,To account for miscellaneous Federal grants that are each earmarked for specific purposes.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
State University of New York,0.0,Special Revenue Funds - Federal,0.0,0.0,0.0,Higher Education,0.0,Indirect Costs,0.0,1000.0,0.0,Federal Miscellaneous Operating Grants Fund,0.0,0.0,0.0,Fed Oper Grant,0.0,0.0,0.0,0.0,25300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,To account for miscellaneous Federal grants that are each earmarked for specific purposes.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Arts, Council on the",0.0,Special Revenue Funds - Federal,0.0,3000.0,0.0,Education,0.0,Indirect Costs,19000.0,0.0,0.0,Federal Miscellaneous Operating Grants Fund,2000.0,0.0,5000.0,Fed Oper Grant,0.0,27000.0,0.0,0.0,25300,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,To account for miscellaneous Federal grants that are each earmarked for specific purposes.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Education Department, State",0.0,Special Revenue Funds - Federal,0.0,101000.0,125000.0,Education,411000.0,Indirect Costs,42000.0,258000.0,173000.0,Federal Miscellaneous Operating Grants Fund,60000.0,160000.0,200000.0,Fed Oper Grant,159000.0,127000.0,0.0,0.0,25300,0.0,54000.0,0.0,165000.0,151000.0,0.0,108000.0,To account for miscellaneous Federal grants that are each earmarked for specific purposes.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Elections, State Board of",0.0,Special Revenue Funds - Federal,0.0,0.0,0.0,General Government,0.0,Indirect Costs,0.0,0.0,27000.0,Federal Miscellaneous Operating Grants Fund,0.0,0.0,0.0,Fed Oper Grant,1000.0,0.0,0.0,0.0,25300,0.0,0.0,0.0,55000.0,0.0,0.0,0.0,To account for miscellaneous Federal grants that are each earmarked for specific purposes.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Prevention of Domestic Violence, Office for",0.0,Special Revenue Funds - Federal,0.0,0.0,0.0,General Government,0.0,Indirect Costs,0.0,0.0,0.0,Federal Miscellaneous Operating Grants Fund,11000.0,0.0,19000.0,Fed Oper Grant,0.0,0.0,0.0,0.0,25300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,To account for miscellaneous Federal grants that are each earmarked for specific purposes.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"State, Department of",0.0,Special Revenue Funds - Federal,0.0,8000.0,23000.0,General Government,42000.0,Indirect Costs,44000.0,52000.0,32000.0,Federal Miscellaneous Operating Grants Fund,115000.0,129000.0,34000.0,Fed Oper Grant,18000.0,40000.0,0.0,0.0,25300,0.0,4000.0,0.0,6000.0,119000.0,0.0,95000.0,To account for miscellaneous Federal grants that are each earmarked for specific purposes.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Veterans' Affairs, Division of",0.0,Special Revenue Funds - Federal,0.0,2000.0,45000.0,General Government,18000.0,Indirect Costs,46000.0,41000.0,3000.0,Federal Miscellaneous Operating Grants Fund,37000.0,40000.0,0.0,Fed Oper Grant,82000.0,70000.0,0.0,0.0,25300,0.0,19000.0,0.0,26000.0,40000.0,0.0,3000.0,To account for miscellaneous Federal grants that are each earmarked for specific purposes.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
Workers' Compensation Board,0.0,Special Revenue Funds - Federal,0.0,0.0,0.0,General Government,0.0,Indirect Costs,0.0,0.0,0.0,Federal Miscellaneous Operating Grants Fund,0.0,0.0,8000.0,Fed Oper Grant,0.0,0.0,0.0,0.0,25300,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,To account for miscellaneous Federal grants that are each earmarked for specific purposes.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Agriculture and Markets, Department of",0.0,Special Revenue Funds - Federal,0.0,3000.0,72000.0,Economic Development and Government Oversight,114000.0,Indirect Costs,1000.0,98000.0,0.0,Federal USDA / Food and Nutrition Services Fund,101000.0,78000.0,4000.0,Fed USDA/FNS,31000.0,10000.0,0.0,0.0,25000,0.0,68000.0,0.0,87000.0,77000.0,0.0,27000.0,To account for Federal grants administered by the U.S. Department of Agriculture.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Health, Department of",0.0,Special Revenue Funds - Federal,0.0,1512000.0,587000.0,Health,1223000.0,Indirect Costs,0.0,2472000.0,1691000.0,Federal USDA / Food and Nutrition Services Fund,0.0,970000.0,362000.0,Fed USDA/FNS,2109000.0,0.0,0.0,0.0,25000,0.0,328000.0,0.0,1467000.0,1071000.0,0.0,0.0,To account for Federal grants administered by the U.S. Department of Agriculture.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Labor, Department of",0.0,Special Revenue Funds - Federal,0.0,0.0,0.0,Social Welfare,0.0,Indirect Costs,9000.0,0.0,0.0,Federal USDA / Food and Nutrition Services Fund,0.0,0.0,4000.0,Fed USDA/FNS,0.0,12000.0,0.0,0.0,25000,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,To account for Federal grants administered by the U.S. Department of Agriculture.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Temporary and Disability Assistance, Office of",0.0,Special Revenue Funds - Federal,0.0,7000.0,50000.0,Social Welfare,14000.0,Indirect Costs,5000.0,46000.0,79000.0,Federal USDA / Food and Nutrition Services Fund,0.0,1300000.0,6000.0,Fed USDA/FNS,59000.0,1000.0,0.0,0.0,25000,0.0,25000.0,0.0,57000.0,0.0,0.0,1000.0,To account for Federal grants administered by the U.S. Department of Agriculture.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Education Department, State",0.0,Special Revenue Funds - Federal,0.0,165000.0,299000.0,Education,410000.0,Indirect Costs,102000.0,341000.0,308000.0,Federal USDA / Food and Nutrition Services Fund,0.0,369000.0,176000.0,Fed USDA/FNS,354000.0,153000.0,0.0,0.0,25000,0.0,109000.0,0.0,255000.0,363000.0,0.0,158000.0,To account for Federal grants administered by the U.S. Department of Agriculture.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Economic Development, Department of",0.0,Special Revenue Funds - Federal,0.0,0.0,0.0,Economic Development and Government Oversight,0.0,Indirect Costs,0.0,0.0,0.0,Federal Employment and Training Grants,59000.0,0.0,0.0,DOL Fed Grants,0.0,0.0,0.0,0.0,26000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Parks, Recreation and Historic Preservation, Office of",0.0,Special Revenue Funds - Federal,0.0,0.0,0.0,Parks and the Environment,7000.0,Indirect Costs,0.0,0.0,0.0,Federal Employment and Training Grants,0.0,0.0,0.0,DOL Fed Grants,0.0,0.0,0.0,0.0,26000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Labor, Department of",0.0,Special Revenue Funds - Federal,0.0,182000.0,226000.0,Social Welfare,226000.0,Indirect Costs,0.0,30000.0,239000.0,Federal Employment and Training Grants,0.0,118000.0,191000.0,DOL Fed Grants,71000.0,0.0,0.0,0.0,26000,0.0,185000.0,0.0,253000.0,140000.0,0.0,0.0,,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Labor, Department of",0.0,Special Revenue Funds - Federal,0.0,0.0,91000.0,Social Welfare,0.0,Indirect Costs,0.0,9000.0,0.0,Federal Employment and Training Grants,0.0,0.0,0.0,Federal Stimulu,0.0,0.0,0.0,0.0,260FS,0.0,0.0,0.0,125000.0,0.0,0.0,0.0,,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Education Department, State",0.0,Special Revenue Funds - Federal,0.0,0.0,0.0,Education,0.0,Indirect Costs,0.0,0.0,0.0,Federal Employment and Training Grants,0.0,0.0,0.0,DOL Fed Grants,0.0,0.0,0.0,0.0,26000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Health, Department of",0.0,Special Revenue Funds - Federal,0.0,574000.0,110000.0,Health,610000.0,Indirect Costs,0.0,622000.0,298000.0,Federal Education Fund,0.0,219000.0,0.0,Fed Education,305000.0,0.0,0.0,0.0,25200,0.0,45000.0,0.0,541000.0,242000.0,0.0,0.0,To account for Federal grants administered by the U.S. Department of Education.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Health, Department of",0.0,Special Revenue Funds - Federal,0.0,0.0,26000.0,Health,0.0,Indirect Costs,0.0,5000.0,0.0,Federal Education Fund,0.0,0.0,0.0,Federal Stimulu,0.0,0.0,0.0,0.0,252FS,0.0,0.0,0.0,715000.0,0.0,0.0,0.0,To account for Federal grants administered by the U.S. Department of Education.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Children and Family Services, Office of",0.0,Special Revenue Funds - Federal,0.0,10000.0,87000.0,Social Welfare,164000.0,Indirect Costs,47000.0,48000.0,15000.0,Federal Education Fund,3000.0,171000.0,15000.0,Fed Education,28000.0,65000.0,0.0,0.0,25200,0.0,135000.0,0.0,127000.0,168000.0,0.0,58000.0,To account for Federal grants administered by the U.S. Department of Education.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Alcoholism and Substance Abuse Services, Office of",0.0,Special Revenue Funds - Federal,0.0,3000.0,0.0,Mental Hygiene,0.0,Indirect Costs,2000.0,0.0,1000.0,Federal Education Fund,3000.0,0.0,3000.0,Fed Education,0.0,2000.0,0.0,0.0,25200,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,To account for Federal grants administered by the U.S. Department of Education.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
Justice Center for the Protection of People with Special Needs,0.0,Special Revenue Funds - Federal,0.0,0.0,0.0,Mental Hygiene,1000.0,Indirect Costs,0.0,0.0,0.0,Federal Education Fund,0.0,3000.0,0.0,Fed Education,0.0,0.0,0.0,0.0,25200,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,To account for Federal grants administered by the U.S. Department of Education.,"Includes agency or central service agency costs that cannot be directly associated with the administration of a particular program and therefore cannot be charged as a direct program expense. Indirect costs include, but are not limited to, physical overhead, space occupancy, utilities, information technology and central service agency costs.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
